codigo,cirugia,rvu,especialidad,grupo
11400,EXC BEN LES TRUNK/ARMS/LEGS; 0.5 CM/LESS,0.5,Dermatología,Lesiones cutáneas
11401,EXC BEN LES TRUNK/ARMS/LEGS; 0.6 TO 1.0 CM,0.6,Dermatología,Lesiones cutáneas
11402,EXC BEN LES TRUNK/ARMS/LEGS; 1.1 TO 2.0 CM,0.8,Dermatología,Lesiones cutáneas
11403,EXC BEN LES TRUNK/ARMS/LEGS; 2.1 TO 3.0 CM,1,Dermatología,Lesiones cutáneas
11404,EXC BEN LES TRUNK/ARMS/LEGS; 3.1 TO 4.0 CM,1.4,Dermatología,Lesiones cutáneas
11406,EXC BEN LES TRUNK/ARMS/LEGS; OVER 4.0 CM,2,Dermatología,Lesiones cutáneas
11420,EXC BEN LES SCALP/HANDS/FT/GENIT; 0.5 CM/LESS,0.5,Dermatología,Lesiones cutáneas
11421,EXC BEN LES SCALP/HANDS/FT/GENIT; 0.6 TO 1.0 CM,0.6,Dermatología,Lesiones cutáneas
11422,EXC BEN LES SCALP/HANDS/FT/GENIT; 1.1 TO 2.0 CM,0.8,Dermatología,Lesiones cutáneas
11423,EXC BEN LES SCALP/HANDS/FT/GENIT; 2.1 TO 3.0 CM,1.2,Dermatología,Lesiones cutáneas
11424,EXC BEN LES SCALP/HANDS/FT/GENIT; 3.1 TO 4.0 CM,1.7,Dermatología,Lesiones cutáneas
11426,EXC BEN LES SCALP/HANDS/FT/GENIT; OVER 4.0 CM,2.4,Dermatología,Lesiones cutáneas
11440,EXC BEN LES FACE/EARS/NOSE/LIPS; 0.5 CM/LESS,0.6,Dermatología,Lesiones cutáneas
11441,EXC BEN LES FACE/EARS/NOSE/LIPS; 0.6 TO 1.0 CM,0.8,Dermatología,Lesiones cutáneas
11442,EXC BEN LES FACE/EARS/NOSE/LIPS; 1.1 TO 2.0 CM,1,Dermatología,Lesiones cutáneas
11443,EXC BEN LES FACE/EARS/NOSE/LIPS; 2.1 TO 3.0 CM,1.3,Dermatología,Lesiones cutáneas
11444,EXC BEN LES FACE/EARS/NOSE/LIPS; 3.1 TO 4.0 CM,1.7,Dermatología,Lesiones cutáneas
11446,EXC BEN LES FACE/EARS/NOSE/LIPS; OVER 4.0 CM,2.5,Dermatología,Lesiones cutáneas
11450,EXC SKIN HIDRADENITIS AX; SIMPL/INTERMED REPR,2.9,Dermatología,Lesiones cutáneas
11451,EXC SKIN HIDRADENITIS AX; W/COMPLX REPR,2.4,Dermatología,Lesiones cutáneas
11462,EXC SKIN HIDRADENITIS ING; W/SIMPL/INTERMED REPR,2.6,Dermatología,Lesiones cutáneas
11463,EXC SKIN HIDRADENITIS ING; W/COMPLEX REPR,2.1,Dermatología,Lesiones cutáneas
11470,EXC SKIN HIDRADENITIS PERIANAL; W/SIMPL/INTERM,2.6,Dermatología,Lesiones cutáneas
11471,EXC SKIN HIDRADENITIS PERIANAL; W/COMPLX REPR,2.1,Dermatología,Lesiones cutáneas
11600,EXC MALIG LES TRUNK/ARMS/LEGS; 0.5 CM/LESS,0.8,Dermatología,Lesiones cutáneas
11601,EXC MALIG LES TRUNK/ARMS/LEGS; 0.6 TO 1.0 CM,0.9,Dermatología,Lesiones cutáneas
11602,EXC MALIG LES TRUNK/ARMS/LEGS;1.1 TO 2.0 CM,1.1,Dermatología,Lesiones cutáneas
11603,EXC MALIG LES TRUNK/ARMS/LEGS; 2.1 TO 3.0 CM,1.4,Dermatología,Lesiones cutáneas
11604,EXC MALIG LES TRUNK/ARMS/LEGS; 3.1 TO 4.0 CM,1.8,Dermatología,Lesiones cutáneas
11606,EXC MALIG LES TRUNK/ARMS/LEGS; OVER 4.0 CM,2.7,Dermatología,Lesiones cutáneas
11620,EXC MALIG LES SCLP/HANDS/FT/GENIT; 0.5 CM/LESS,1.1,Dermatología,Lesiones cutáneas
11621,EXC MALIG LES SCLP/HANDS/FT/GENIT; 0.6 TO 1.0 CM,1.3,Dermatología,Lesiones cutáneas
11622,EXC MALIG LES SCLP/HANDS/FT/GENIT; 1.1 TO 2.0 CM,1.5,Dermatología,Lesiones cutáneas
11623,EXC MALIG LES SCLP/HANDS/FT/GENIT; 2.1 TO 3.0 CM,1.9,Dermatología,Lesiones cutáneas
11624,EXC MALIG LES SCLP/HANDS/FT/GENIT; 3.1 TO 4.0 CM,2.4,Dermatología,Lesiones cutáneas
11626,EXC MALIG LES SCLP/HANDS/FT/GENIT; OVER 4.0 CM,2.9,Dermatología,Lesiones cutáneas
11640,EXC MALIG LES FACE/EARS/NOSE/LIPS; 0.5 CM/LESS,1.3,Dermatología,Lesiones cutáneas
11641,EXC MALIG LES FACE/EARS/NOSE/LIPS; 0.6 TO 1.0 CM,1.6,Dermatología,Lesiones cutáneas
11642,EXC MALIG LES FACE/EARS/NOSE/LIPS; 1.1 TO 2.0 CM,2.1,Dermatología,Lesiones cutáneas
11643,EXC MALIG LES FACE/EARS/NOSE/LIPS; 2.1 TO 3.0 CM,2.5,Dermatología,Lesiones cutáneas
11644,EXC MALIG LES FACE/EARS/NOSE/LIPS; 3.1 TO 4.0 CM,2.8,Dermatología,Lesiones cutáneas
11646,EXC MALIG LES FACE/EARS/NOSE/LIPS; OVER 4.0 CM,3.3,Dermatología,Lesiones cutáneas
